ID,Jugador,Pais,Equipo,Posicion,Edad,Nacimiento,Partidos_jugados,Partidos_titular,Minutos_totales,90s,Tarjetas_amarillas,Tarjetas_rojas,Segundas_tarjetas_amarillas,Faltas_comprometidas,Faltas_pitadas,Fuera_de_juego
1,Liel Abada,SCT,Celtic ,"FW,MF",20,2001,5,4,217,"2,41",0,0,0,0,3,1
2,Oliver Abildgaard,SCT,Celtic ,MF,26,1996,2,0,63,"0,70",0,0,0,0,0,0
3,Mohammad Abu Fani,IL,Maccabi Haifa,MF,24,1998,6,4,400,"4,44",1,0,0,13,12,0
4,Francesco Acerbi,IT,Inter ,DF,34,1988,12,10,921,"10,23",1,0,0,6,9,1
5,Marcos Acuña,ES,Sevilla ,"DF,MF",30,1991,4,3,219,"2,43",0,0,0,8,0,0
6,Junior Adamu,AT,RB Salzburg,FW,21,2001,6,2,204,"2,27",1,0,0,6,1,4
7,Antonio Adán,PT,Sporting CP,GK,35,1987,5,5,382,"4,24",0,1,0,1,0,0
8,Arijan Ademi,HR,Dinamo Zagreb,MF,31,1991,6,6,471,"5,23",2,0,0,3,3,0
9,Karim Adeyemi,DE,Dortmund ,"FW,MF",20,2002,6,5,376,"4,18",1,0,0,7,6,0
10,Amine Adli,DE,Leverkusen ,"FW,MF",22,2000,4,1,121,"1,34",0,0,0,4,1,3
11,Manuel Akanji,ENG,Manchester City,DF,27,1995,11,10,945,"10,50",2,0,0,9,5,0
12,Nathan Aké,ENG,Manchester City,DF,27,1995,8,7,608,"6,76",1,0,0,5,1,0
13,David Alaba,ES,Real Madrid,DF,30,1992,11,9,711,"7,90",0,0,0,3,0,0
14,Lucas Alario,DE,Eint Frankfurt,"FW,MF",29,1992,2,0,20,"0,22",0,0,0,0,0,1
15,Jordi Alba,ES,Barcelona ,DF,33,1989,2,2,146,"1,62",0,0,0,0,0,0
16,Thiago Alcántara,ENG,Liverpool ,MF,31,1991,5,3,306,"3,40",0,0,0,4,6,0
17,Trent Alexander-Arnold,ENG,Liverpool ,DF,23,1998,7,7,625,"6,94",2,0,0,2,2,0
18,Sotiris Alexandropoulos,PT,Sporting CP,MF,20,2001,3,0,121,"1,34",0,0,0,0,3,0
19,Faride Alidou,DE,Eint Frankfurt,"DF,FW",21,2001,5,0,73,"0,81",0,0,0,1,1,0
20,Alisson,ENG,Liverpool ,GK,29,1992,8,8,720,"8,00",0,0,0,0,0,0
21,Marcos Alonso,ES,Barcelona ,DF,31,1990,5,5,403,"4,48",0,0,0,3,2,0
22,Éder Álvarez Balanta,BE,Club Brugge,"MF,FW",29,1993,4,0,50,"0,56",0,0,0,2,2,0
23,Edson Álvarez,NL,Ajax ,MF,24,1997,6,6,531,"5,90",2,0,0,12,4,0
24,Julián Álvarez,ENG,Manchester City,FW,22,2000,10,4,474,"5,27",1,0,0,9,2,2
25,Nadiem Amiri,DE,Leverkusen ,"MF,FW",25,1996,5,1,123,"1,37",0,0,0,2,0,0
26,Robert Andrich,DE,Leverkusen ,MF,27,1994,5,5,407,"4,52",4,0,0,15,2,0
27,Peter Ankersen,DK,FC Copenhagen,DF,31,1990,1,0,25,"0,28",0,0,0,0,0,0
28,Ofri Arad,IL,Maccabi Haifa,"DF,MF",23,1998,2,0,22,"0,24",0,0,0,2,0,0
29,Charles Aránguiz,DE,Leverkusen ,MF,33,1989,4,3,215,"2,39",0,0,0,3,0,0
30,Henrique Araújo,PT,Benfica ,FW,20,2002,1,0,9,"0,10",0,0,0,0,0,0
31,Ronald Araújo,ES,Barcelona ,DF,23,1999,1,1,90,"1,00",0,0,0,1,0,0
32,Scott Arfield,SCT,Rangers ,MF,33,1988,4,3,267,"2,97",0,0,0,3,0,1
33,Hákon Arnar Haraldsson,DK,FC Copenhagen,FW,19,2003,6,3,298,"3,31",0,0,0,4,8,1
34,Kepa Arrizabalaga,ENG,Chelsea ,GK,27,1994,9,9,810,"9,00",2,0,0,0,0,0
35,Arthur,PT,Sporting CP,"MF,FW",24,1998,3,1,111,"1,23",0,0,0,0,2,1
36,Marco Asensio,ES,Real Madrid,"FW,MF",26,1996,12,2,324,"3,60",0,0,0,0,3,0
37,Kristjan Asllani,IT,Inter ,MF,20,2002,5,1,129,"1,43",0,0,0,1,2,0
38,Omer Atzili,IL,Maccabi Haifa,"FW,MF",29,1993,6,3,308,"3,42",3,0,0,10,4,1
39,Pierre-Emerick Aubameyang,ENG,Chelsea ,FW,33,1989,6,6,403,"4,48",0,0,0,4,2,4
40,Lynnt Audoor,BE,Club Brugge,MF,18,2003,1,0,11,"0,12",0,0,0,2,0,0
41,Fredrik Aursnes,PT,Benfica ,"FW,MF",26,1995,10,7,620,"6,89",0,0,0,6,2,2
42,Sardar Azmoun,DE,Leverkusen ,FW,27,1995,2,0,7,"0,08",0,0,0,0,0,1
43,César Azpilicueta,ENG,Chelsea ,DF,32,1989,5,3,260,"2,89",0,0,0,4,4,0
44,Youri Baas,NL,Ajax ,DF,19,2003,3,0,44,"0,49",0,0,0,0,0,0
45,Alexander Bah,PT,Benfica ,DF,24,1997,8,8,654,"7,27",1,0,0,9,8,0
46,Eric Bailly,FR,Marseille ,DF,28,1994,5,5,302,"3,36",2,0,0,4,4,0
47,Stefan Bajcetic,ENG,Liverpool ,MF,17,2004,4,1,109,"1,21",0,0,0,2,0,0
48,Mitchel Bakker,DE,Leverkusen ,"MF,DF",22,2000,5,4,338,"3,76",2,0,0,6,2,1
49,Alejandro Balde,ES,Barcelona ,DF,18,2003,4,1,171,"1,90",0,0,0,1,4,0
50,Leonardo Balerdi,FR,Marseille ,DF,23,1999,6,5,491,"5,46",1,0,0,4,2,0
51,Fodé Ballo-Touré,IT,Milan ,"DF,MF",25,1997,4,1,135,"1,50",2,0,0,3,2,0
52,Tommaso Barbieri,IT,Juventus ,MF,19,2002,1,0,3,"0,03",0,0,0,0,0,0
53,Roony Bardghji,DK,FC Copenhagen,FW,16,2005,2,1,98,"1,09",0,0,0,0,0,0
54,Nicolò Barella,IT,Inter ,MF,25,1997,12,12,991,"11,01",3,0,0,17,13,3
55,Borna Barišić,SCT,Rangers ,DF,29,1992,6,5,465,"5,17",1,0,0,2,2,1
56,Enzo Barrenechea,IT,Juventus ,DF,21,2001,1,0,3,"0,03",0,0,0,0,0,0
57,Pablo Barrios,ES,Atlético Madrid,MF,19,2003,1,0,6,"0,07",0,0,0,0,0,0
58,Calvin Bassey,NL,Ajax ,DF,22,1999,6,6,540,"6,00",1,0,0,3,8,0
59,Fortune Bassey,CZ,Viktoria Plzeň,FW,23,1998,5,1,134,"1,49",0,0,0,0,0,0
60,Alessandro Bastoni,IT,Inter ,DF,23,1999,12,12,983,"10,92",2,0,0,13,7,0
61,Dylan Batubinsika,IL,Maccabi Haifa,DF,26,1996,5,5,450,"5,00",0,0,0,3,0,0
62,Martin Baturina,HR,Dinamo Zagreb,MF,19,2003,5,0,60,"0,67",1,0,0,1,3,0
63,Raoul Bellanova,IT,Inter ,"DF,MF",22,2000,3,1,120,"1,33",0,0,0,0,1,0
64,Héctor Bellerín,ES,Barcelona ,DF,27,1995,2,2,180,"2,00",0,0,0,2,0,0
65,Jude Bellingham,DE,Dortmund ,MF,19,2003,7,7,630,"7,00",2,0,0,6,17,0
66,Ismaël Bennacer,IT,Milan ,MF,24,1997,10,9,585,"6,50",1,0,0,11,12,0
67,Rodrigo Bentancur,ENG,Tottenham ,"MF,FW",25,1997,6,6,503,"5,59",2,0,0,8,3,0
68,Karim Benzema,ES,Real Madrid,FW,34,1987,10,9,744,"8,27",0,0,0,4,2,3
69,Steven Berghuis,NL,Ajax ,"MF,FW",30,1991,6,6,462,"5,13",1,0,0,3,4,2
70,Steven Bergwijn,NL,Ajax ,FW,24,1997,6,6,519,"5,77",1,0,0,7,3,3
71,Alexandro Bernabei,SCT,Celtic ,FW,21,2000,1,0,11,"0,12",0,0,0,0,0,0
72,Bernardo,AT,RB Salzburg,DF,27,1995,4,2,274,"3,04",0,0,0,0,3,1
73,Juan Bernat,FR,Paris S-G,DF,29,1993,5,3,275,"3,06",0,0,0,0,3,0
74,Victor Bernth Kristiansen,DK,FC Copenhagen,"DF,MF",19,2002,6,5,483,"5,37",0,0,0,5,3,0
75,Modou Biramé Ndiaye,CZ,Viktoria Plzeň,MF,25,1996,4,2,182,"2,02",1,0,0,1,4,0
76,Yves Bissouma,ENG,Tottenham ,MF,25,1996,3,0,92,"1,02",0,0,0,0,0,0
77,Janis Blaswich,DE,RB Leipzig,GK,31,1991,6,5,528,"5,87",0,0,0,0,0,0
78,Daley Blind,NL,Ajax ,DF,32,1990,5,5,407,"4,52",0,0,0,4,0,1
79,Petar Bočkaj,HR,Dinamo Zagreb,"DF,FW",26,1996,3,0,39,"0,43",0,0,0,0,2,0
80,Nicolai Boilesen,DK,FC Copenhagen,DF,30,1992,2,1,100,"1,11",0,0,0,2,1,0
81,Valerii Bondar,UA,Shakhtar ,DF,23,1999,6,6,540,"6,00",2,0,0,3,0,0
82,Artem Bondarenko,UA,Shakhtar ,MF,21,2000,6,6,484,"5,38",1,0,0,6,3,0
83,Leonardo Bonucci,IT,Juventus ,DF,35,1987,6,5,444,"4,93",0,0,0,6,1,0
84,Gonçalo Borges,PT,Porto ,"MF,FW",21,2001,4,0,39,"0,43",1,0,0,2,1,0
85,Rafael Borré,DE,Eint Frankfurt,FW,26,1995,8,1,228,"2,53",0,0,0,5,6,3
86,Yassine Bounou,ES,Sevilla ,GK,31,1991,4,4,360,"4,00",1,0,0,0,0,0
87,Dedryck Boyata,BE,Club Brugge,DF,31,1990,3,1,136,"1,51",1,0,0,1,0,0
88,Julian Brandt,DE,Dortmund ,"MF,FW",26,1996,7,6,476,"5,29",0,0,0,6,2,0
89,Gleison Bremer,IT,Juventus ,DF,25,1997,3,3,270,"3,00",1,0,0,4,2,0
90,Brian Brobbey,NL,Ajax ,FW,20,2002,5,1,116,"1,29",0,0,0,1,3,0
91,Armando Broja,ENG,Chelsea ,FW,20,2001,5,0,116,"1,29",0,0,0,7,0,1
92,Marcelo Brozović,IT,Inter ,MF,29,1992,9,5,549,"6,10",1,0,0,7,5,0
93,Pavel Bucha,CZ,Viktoria Plzeň,MF,24,1998,5,4,364,"4,04",0,1,0,1,0,0
94,Tajon Buchanan,BE,Club Brugge,"DF,MF",23,1999,6,6,520,"5,78",2,0,0,4,14,2
95,Marko Bulat,HR,Dinamo Zagreb,MF,20,2001,3,0,29,"0,32",0,0,0,0,0,0
96,Sergio Busquets,ES,Barcelona ,MF,34,1988,4,4,289,"3,21",3,0,0,4,9,0
97,Aurélio Buta,DE,Eint Frankfurt,DF,25,1997,2,2,158,"1,76",0,0,0,1,0,0
98,Jamie Bynoe-Gittens,DE,Dortmund ,MF,17,2004,2,0,39,"0,43",0,0,0,0,1,0
99,Jovane Cabral,PT,Sporting CP,MF,24,1998,1,0,13,"0,14",0,0,0,0,0,0
100,Davide Calabria,IT,Milan ,DF,25,1996,6,6,497,"5,52",2,0,0,6,4,0
101,Hakan Çalhanoğlu,IT,Inter ,MF,28,1994,12,9,804,"8,93",1,0,0,15,13,1
102,Eduardo Camavinga,ES,Real Madrid,"MF,DF",19,2002,11,8,721,"8,01",3,0,0,14,16,0
103,Emre Can,DE,Dortmund ,MF,28,1994,7,6,565,"6,28",2,0,0,12,2,0
104,João Cancelo,DE,Bayern Munich,DF,28,1994,4,2,123,"1,37",1,0,0,1,1,0
105,João Cancelo,ENG,Manchester City,DF,28,1994,6,5,376,"4,18",1,0,0,5,3,2
106,Nicolás Capaldo,AT,RB Salzburg,MF,24,1997,3,3,270,"3,00",2,0,0,10,2,0
107,Valentin Carboni,IT,Inter ,FW,17,2005,1,0,15,"0,17",1,0,0,1,0,0
108,Fábio Cardoso,PT,Porto ,DF,28,1994,4,4,360,"4,00",1,0,0,4,1,0
109,David Carmo,PT,Porto ,DF,23,1999,5,5,450,"5,00",3,0,0,4,2,0
110,Carmona,ES,Sevilla ,DF,20,2002,5,5,450,"5,00",2,0,0,4,4,0
111,Yannick Carrasco,ES,Atlético Madrid,"DF,MF",28,1993,6,3,274,"3,04",0,0,0,3,0,2
112,Cameron Carter-Vickers,SCT,Celtic ,DF,24,1997,4,4,360,"4,00",0,0,0,1,1,0
113,Dani Carvajal,ES,Real Madrid,DF,30,1992,11,10,869,"9,66",3,0,0,10,10,1
114,Fabio Carvalho,ENG,Liverpool ,"MF,FW",19,2002,4,1,115,"1,28",0,0,0,0,1,0
115,Marc Casado,ES,Barcelona ,MF,18,2003,1,0,24,"0,27",0,0,0,0,1,0
116,Dani Ceballos,ES,Real Madrid,MF,25,1996,7,0,86,"0,96",0,0,0,2,4,0
117,Aleš Čermák,CZ,Viktoria Plzeň,MF,27,1994,3,0,32,"0,36",0,0,0,1,0,0
118,El Chadaille Bitshiabu,FR,Paris S-G,DF,17,2005,1,0,45,"0,50",0,0,0,0,0,0
119,Trevoh Chalobah,ENG,Chelsea ,DF,23,1999,6,4,439,"4,88",0,0,0,1,3,0
120,Timothy Chandler,DE,Eint Frankfurt,DF,32,1990,1,0,12,"0,13",0,0,0,0,0,0
121,Tjaronn Chery,IL,Maccabi Haifa,"MF,FW",34,1988,6,6,540,"6,00",1,0,0,3,2,2
122,Federico Chiesa,IT,Juventus ,FW,24,1997,1,0,17,"0,19",0,0,0,1,0,1
123,Ben Chilwell,ENG,Chelsea ,"DF,MF",25,1996,7,7,556,"6,18",1,1,0,10,11,2
124,Chiquinho,PT,Benfica ,MF,27,1995,9,4,404,"4,49",0,0,0,3,7,1
125,Tomáš Chorý,CZ,Viktoria Plzeň,FW,27,1995,6,5,361,"4,01",2,0,0,9,7,3
126,Andreas Christensen,ES,Barcelona ,DF,26,1996,3,3,216,"2,40",0,0,0,2,2,0
127,Viktor Claesson,DK,FC Copenhagen,"FW,MF",30,1992,6,6,482,"5,36",2,0,0,6,5,1
128,Jonathan Clauss,FR,Marseille ,DF,29,1992,6,6,410,"4,56",1,0,0,1,1,0
129,William Clem,DK,FC Copenhagen,MF,18,2004,2,2,170,"1,89",0,0,0,1,2,0
130,Sebastián Coates,PT,Sporting CP,DF,31,1990,5,5,394,"4,38",1,0,0,2,1,0
131,Josh Cohen,IL,Maccabi Haifa,GK,29,1992,6,6,540,"6,00",0,0,0,0,1,0
132,Antonio Čolak,SCT,Rangers ,FW,28,1993,6,3,284,"3,16",0,0,0,3,3,4
133,Kingsley Coman,DE,Bayern Munich,"FW,DF",26,1996,7,7,533,"5,92",0,0,0,1,12,2
134,Francisco Conceição,NL,Ajax ,"FW,MF",19,2002,3,0,17,"0,19",1,0,0,1,3,0
135,Rodrigo Conceição,PT,Porto ,DF,22,2000,2,0,5,"0,06",0,0,0,1,0,0
136,Andreas Cornelius,DK,FC Copenhagen,FW,29,1993,2,1,109,"1,21",0,0,0,4,3,1
137,Pierre Cornud,IL,Maccabi Haifa,DF,25,1996,5,5,371,"4,12",1,0,0,2,2,0
138,Ángel Correa,ES,Atlético Madrid,"FW,MF",27,1995,6,3,315,"3,50",0,0,0,3,4,4
139,Joaquín Correa,IT,Inter ,FW,27,1994,9,3,304,"3,38",0,0,0,3,4,3
140,Bruno Xavier Almeida Costa,PT,Porto ,MF,25,1997,3,1,73,"0,81",0,0,0,1,1,0
141,Diogo Costa,PT,Porto ,GK,22,1999,8,8,720,"8,00",0,0,0,0,1,0
142,Soumaïla Coulibaly,DE,Dortmund ,DF,18,2003,1,0,19,"0,21",0,0,0,1,0,0
143,Thibaut Courtois,ES,Real Madrid,GK,30,1992,10,10,900,"10,00",0,0,0,0,0,0
144,Juan Cuadrado,IT,Juventus ,"DF,MF",34,1988,6,6,431,"4,79",0,0,0,4,17,1
145,Marc Cucurella,ENG,Chelsea ,DF,24,1998,8,4,414,"4,60",2,0,0,6,6,2
146,Matheus Cunha,ES,Atlético Madrid,"FW,MF",23,1999,5,0,122,"1,36",0,0,0,2,3,1
147,Danilo D'Ambrosio,IT,Inter ,DF,33,1988,6,1,161,"1,79",0,0,0,3,4,1
148,Danilo,IT,Juventus ,DF,31,1991,5,5,427,"4,74",3,0,0,4,1,0
149,Arnaut Danjuma,ENG,Tottenham ,MF,25,1997,1,0,10,"0,11",0,0,0,0,0,0
150,Mohammed Daramy,DK,FC Copenhagen,FW,20,2002,6,6,443,"4,92",1,0,0,2,5,4
151,Matteo Darmian,IT,Inter ,DF,32,1989,11,9,821,"9,12",1,0,0,10,4,1
152,Dean David,IL,Maccabi Haifa,"FW,DF",26,1996,6,3,237,"2,63",0,0,0,2,1,1
153,Alphonso Davies,DE,Bayern Munich,DF,21,2000,9,6,602,"6,69",1,0,0,4,4,1
154,Ben Davies,ENG,Tottenham ,DF,29,1993,7,4,392,"4,36",0,0,0,6,3,2
155,Ben Davies,SCT,Rangers ,DF,26,1995,3,3,260,"2,89",1,0,0,2,1,0
156,Steven Davis,SCT,Rangers ,MF,37,1985,5,3,249,"2,77",0,0,0,0,1,0
157,Kevin De Bruyne,ENG,Manchester City,MF,31,1991,10,9,716,"7,96",1,0,0,5,7,1
158,Charles De Ketelaere,IT,Milan ,"MF,FW",21,2001,6,3,234,"2,60",1,0,0,5,1,0
159,Rodrigo De Paul,ES,Atlético Madrid,MF,28,1994,5,1,256,"2,84",1,0,0,2,8,1
160,Mattia De Sciglio,IT,Juventus ,DF,29,1992,3,1,95,"1,06",0,0,0,1,1,1
161,Amar Dedić,AT,RB Salzburg,DF,19,2002,6,6,540,"6,00",0,0,0,6,6,0
162,Thomas Delaney,ES,Sevilla ,MF,30,1991,4,3,230,"2,56",0,0,0,2,4,0
163,Ousmane Dembélé,ES,Barcelona ,FW,25,1997,6,5,413,"4,59",1,0,0,5,6,2
164,Kerem Demirbay,DE,Leverkusen ,MF,29,1993,5,2,268,"2,98",1,0,0,9,4,1
165,Sergiño Dest,IT,Milan ,DF,21,2000,4,1,191,"2,12",0,0,0,2,1,1
166,Giovanni Di Lorenzo,IT,Napoli ,DF,28,1993,10,10,888,"9,87",2,0,0,12,9,0
167,Ángel Di María,IT,Juventus ,FW,34,1988,3,2,146,"1,62",0,0,0,1,2,0
168,Moussa Diaby,DE,Leverkusen ,"FW,MF",23,1999,6,6,505,"5,61",0,0,0,3,2,1
169,Abdou Diallo,DE,RB Leipzig,"DF,MF",26,1996,5,2,227,"2,52",0,0,0,0,2,0
170,Rúben Dias,ENG,Manchester City,DF,25,1997,12,11,1,"0,01",2,0,0,8,1,0
171,Brahim Díaz,IT,Milan ,"MF,FW",22,1999,10,8,602,"6,69",1,0,0,11,23,0
172,Luis Díaz,ENG,Liverpool ,FW,25,1997,3,3,269,"2,99",0,0,0,6,5,2
173,Eric Dier,ENG,Tottenham ,DF,28,1994,7,7,617,"6,86",3,0,0,11,0,0
174,Kevin Diks,DK,FC Copenhagen,DF,25,1996,6,4,335,"3,72",0,0,0,5,1,0
175,Federico Dimarco,IT,Inter ,DF,24,1997,11,10,728,"8,09",2,0,0,7,9,1
176,Junior Dina Ebimbe,DE,Eint Frankfurt,"MF,DF",21,2000,6,3,239,"2,66",1,0,0,9,4,0
177,Marko Dmitrović,ES,Sevilla ,GK,30,1992,2,2,180,"2,00",0,0,0,0,0,0
178,Matt Doherty,ENG,Tottenham ,DF,30,1992,2,1,76,"0,84",0,0,0,2,0,0
179,Kasper Dolberg,ES,Sevilla ,FW,24,1997,4,1,110,"1,22",0,0,0,3,1,1
180,Gianluigi Donnarumma,FR,Paris S-G,GK,23,1999,8,8,720,"8,00",0,0,0,0,1,0
181,Julian Draxler,PT,Benfica ,MF,28,1993,3,0,32,"0,36",0,0,0,0,0,0
182,Josip Drmić,HR,Dinamo Zagreb,FW,29,1992,6,0,95,"1,06",0,0,0,0,0,1
183,Denzel Dumfries,IT,Inter ,DF,26,1996,12,10,885,"9,83",0,0,0,14,22,5
184,Edin Džeko,IT,Inter ,FW,36,1986,13,11,824,"9,16",2,0,0,13,14,2
185,Ederson,ENG,Manchester City,GK,28,1993,11,11,990,"11,00",2,0,0,0,1,0
186,Jorge Eduardo Sánchez,NL,Ajax ,DF,24,1997,5,3,269,"2,99",1,0,0,4,1,0
187,Marcus Edwards,PT,Sporting CP,"FW,MF",23,1998,6,6,352,"3,91",0,0,0,2,5,1
188,Hugo Ekitike,FR,Paris S-G,"MF,FW",20,2002,4,0,62,"0,69",0,0,0,2,0,0
189,Harvey Elliott,ENG,Liverpool ,MF,19,2003,8,4,395,"4,39",1,0,0,5,5,0
190,Elif Elmas,IT,Napoli ,"FW,MF",22,1999,10,2,285,"3,17",1,0,0,5,5,0
191,Emerson,ENG,Tottenham ,"DF,MF",23,1999,8,6,543,"6,03",1,0,0,8,12,2
192,Youssef En-Nesyri,ES,Sevilla ,FW,25,1997,4,3,245,"2,72",0,0,0,1,1,3
193,Ricardo Esgaio,PT,Sporting CP,"DF,MF",29,1993,3,2,109,"1,21",3,1,1,2,1,0
194,Dario Essugo,PT,Sporting CP,MF,17,2005,1,0,28,"0,31",0,0,0,0,1,0
195,Stephen Eustáquio,PT,Porto ,MF,25,1996,7,7,594,"6,60",1,0,0,3,7,0
196,Evanilson,PT,Porto ,FW,22,1999,8,6,513,"5,70",0,0,0,5,15,6
197,Fabinho,ENG,Liverpool ,MF,28,1993,8,7,632,"7,02",0,0,0,12,4,0
198,Nicolò Fagioli,IT,Juventus ,MF,21,2001,2,1,108,"1,20",1,0,0,1,3,0
199,Rasmus Falk,DK,FC Copenhagen,MF,30,1992,3,2,189,"2,10",0,0,0,0,4,0
200,Abdul Fatawu Issahaku,PT,Sporting CP,"MF,DF",18,2004,2,0,89,"0,99",0,0,0,0,2,0
201,Ansu Fati,ES,Barcelona ,FW,19,2002,6,2,244,"2,71",0,0,0,6,0,0
202,Felipe,ES,Atlético Madrid,DF,33,1989,1,1,90,"1,00",0,0,0,0,0,0
203,João Félix,ENG,Chelsea ,"FW,MF",22,1999,4,3,244,"2,71",0,0,0,1,6,1
204,João Félix,ES,Atlético Madrid,FW,22,1999,5,3,217,"2,41",0,0,0,1,10,1
205,Mateus Fernandes,PT,Sporting CP,MF,18,2004,1,0,30,"0,33",0,0,0,2,1,0
206,Enzo Fernández,PT,Benfica ,MF,21,2001,5,5,427,"4,74",3,0,0,15,4,0
207,Enzo Fernández,ENG,Chelsea ,MF,21,2001,4,4,332,"3,69",1,0,0,4,4,0
208,Fernando,AT,RB Salzburg,FW,23,1999,1,1,64,"0,71",0,0,0,1,5,0
209,Fernando,ES,Sevilla ,MF,35,1987,1,1,90,"1,00",0,0,0,1,2,0
210,Roberto Firmino,ENG,Liverpool ,"FW,MF",30,1991,8,4,417,"4,63",0,0,0,7,0,0
211,Phil Foden,ENG,Manchester City,"MF,FW",22,2000,8,3,384,"4,27",1,0,0,4,9,2
212,Wesley Fofana,ENG,Chelsea ,DF,21,2000,5,5,397,"4,41",1,0,0,10,2,0
213,Bernardo Folha,PT,Porto ,MF,20,2002,2,0,8,"0,09",0,0,0,1,0,0
214,James Forrest,SCT,Celtic ,FW,31,1991,3,0,90,"1,00",0,0,0,0,0,0
215,Emil Forsberg,DE,RB Leipzig,"MF,FW",30,1991,8,4,402,"4,47",0,0,0,6,7,2
216,Fraser Forster,ENG,Tottenham ,GK,34,1988,2,2,180,"2,00",0,0,0,0,0,0
217,Timothy Fosu-Mensah,DE,Leverkusen ,"MF,DF",24,1998,3,0,10,"0,11",0,0,0,0,0,0
218,Lassina Franck Traoré,UA,Shakhtar ,FW,21,2001,6,3,244,"2,71",0,0,0,4,4,3
219,André Franco,PT,Porto ,MF,24,1998,1,0,21,"0,23",0,0,0,0,0,0
220,Jeremie Frimpong,DE,Leverkusen ,"MF,FW",21,2000,5,4,374,"4,16",2,1,1,4,7,1
221,Kyogo Furuhashi,SCT,Celtic ,FW,27,1995,6,5,359,"3,99",1,0,0,5,2,0
222,Matteo Gabbia,IT,Milan ,DF,22,1999,4,2,211,"2,34",1,0,0,5,3,0
223,Gianluca Gaetano,IT,Napoli ,MF,22,2000,3,0,31,"0,34",0,0,0,2,0,0
224,Roberto Gagliardini,IT,Inter ,MF,28,1994,6,1,116,"1,29",1,0,0,6,3,0
225,Cody Gakpo,ENG,Liverpool ,"FW,MF",23,1999,2,2,152,"1,69",0,0,0,1,3,1
226,Galeno,PT,Porto ,"FW,MF",24,1997,8,7,563,"6,26",0,0,0,4,18,1
227,Conor Gallagher,ENG,Chelsea ,MF,22,2000,8,2,301,"3,34",2,0,0,5,6,0
228,Eric García,ES,Barcelona ,DF,21,2001,4,2,225,"2,50",0,0,0,2,0,1
229,Federico Gatti,IT,Juventus ,DF,24,1998,2,2,180,"2,00",1,0,0,4,3,0
230,Gavi,ES,Barcelona ,MF,17,2004,5,4,329,"3,66",2,0,0,5,8,1
231,Gerson,FR,Marseille ,MF,25,1997,3,2,121,"1,34",0,0,0,2,6,0
232,Giorgos Giakoumakis,SCT,Celtic ,FW,27,1994,6,2,246,"2,73",0,0,0,8,4,0
233,Samuel Gigot,FR,Marseille ,DF,28,1993,5,2,249,"2,77",0,0,0,2,3,0
234,Bryan Gil,ENG,Tottenham ,MF,21,2001,4,0,40,"0,44",0,0,0,0,3,0
235,Gilberto,PT,Benfica ,DF,29,1993,5,2,201,"2,23",1,0,0,2,3,0
236,Olivier Giroud,IT,Milan ,FW,35,1986,12,12,932,"10,36",1,0,0,12,8,9
237,Serge Gnabry,DE,Bayern Munich,"FW,MF",27,1995,8,3,343,"3,81",0,0,0,4,0,5
238,Sean Goldberg,IL,Maccabi Haifa,DF,27,1995,6,6,540,"6,00",0,0,0,6,0,0
239,Connor Goldson,SCT,Rangers ,DF,29,1992,4,4,314,"3,49",0,0,0,1,4,0
240,Joe Gomez,ENG,Liverpool ,DF,25,1997,5,4,298,"3,31",1,0,0,6,1,0
